Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
gameboy-advance,Tetris Worlds,2001-09-05,Everyone,Unkown,Unkown,Puzzle,785138320762,2624,Tetris is back! Tetris World takes everything you love about tetris and spices it up with 3-D graphics and six variations of gameplay,https://www.pricecharting.com/game/gameboy-advance/tetris-worlds
gameboy-advance,Texas Hold 'em Poker / Golden Nugget Casino,2005-03-31,Everyone,Majesco,Unkown,Sports,096427014362,22032,Unkown,https://www.pricecharting.com/game/gameboy-advance/texas-hold-'em-poker-golden-nugget-casino
gameboy-advance,Texas Hold Em Poker,2004-11-01,Everyone,Majesco,Unkown,Casino,096427013716,2625,Unkown,https://www.pricecharting.com/game/gameboy-advance/texas-hold-em-poker
gameboy-advance,That's So Raven,2004-10-12,Everyone,Disney,Unkown,Action & Adventure,712725001575,9968,Unkown,https://www.pricecharting.com/game/gameboy-advance/that's-so-raven
gameboy-advance,That's So Raven 2 Supernatural Style,2005-08-21,Everyone,Disney,Unkown,Action & Adventure,712725002237,10472,Unkown,https://www.pricecharting.com/game/gameboy-advance/that's-so-raven-2-supernatural-style
gameboy-advance,The Bible Game,2005-10-30,Everyone,Unkown,Unkown,Other,650008899085,2628,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-bible-game
gameboy-advance,The Cat in the Hat,2003-11-05,Everyone,Vivendi Universal,Digital Eclipse,Action & Adventure,020626720359,2629,"Go beyond the zany fun of the movie with an unbelievable adventure starring you as The Cat in the Hat. The Cat's crate has been opened and Seussian magic has turned the house inside out. You'll encounter all the wacky characters from the movie as you race to restore order to the house before Mom comes home. The Cat has his amazing umbrella, floating moves, and other tricks up his sleeve to help you through the 16 levels of pandemonium.",https://www.pricecharting.com/game/gameboy-advance/the-cat-in-the-hat
gameboy-advance,The Cheetah Girls,2006-09-12,Everyone,Disney,Unkown,Action & Adventure,712725002510,10473,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-cheetah-girls
gameboy-advance,The Hobbit,2003-11-11,Everyone,Sierra Entertainment,Saffire,Action & Adventure,020626716024,2630,"Set in the mythical world of Middle-earth, The Hobbit is an introductory tale to the Lord of the Rings trilogy. You control Bilbo Baggins as he travels from his peaceful Hobbit hole in Hobbiton into the dark and harrowing Mirkwood forest and finally to the Lonely Mountain, the home of Smaug the dragon. During your journey, you will acquire items, knowledge, and courage to face the most terrifying of enemies. Come face-to-face with elves, trolls, orcs, spiders, and wolves. It's up to you to lead the quest that started it all.",https://www.pricecharting.com/game/gameboy-advance/the-hobbit
gameboy-advance,The Incredible Hulk,2003-05-27,Everyone,Vivendi Universal,Unkown,Action & Adventure,020626718929,2631,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-incredible-hulk
gameboy-advance,The Incredibles,2004-10-31,Everyone,THQ,Unkown,Action & Adventure,785138321721,2632,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-incredibles
gameboy-advance,The Incredibles and Finding Nemo,2007-02-01,Everyone,Disney,Unkown,Action & Adventure,785138322520,11660,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-incredibles-and-finding-nemo
gameboy-advance,The Incredibles Rise of the Underminer,2005-11-01,Everyone,Disney,Unkown,Action & Adventure,785138321943,2633,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-incredibles-rise-of-the-underminer
gameboy-advance,The Jungle Book,2003-02-11,Everyone,Ubisoft,Unkown,Action & Adventure,008888140054,2634,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-jungle-book
gameboy-advance,The Lion King 1 1/2,2003-09-30,Everyone,Unkown,Unkown,Action & Adventure,712725001407,2637,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-lion-king-1-12
gameboy-advance,The Lost Vikings,2003-03-30,Everyone,Vivendi Universal,Unkown,Action & Adventure,020626719063,11094,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-lost-vikings
gameboy-advance,The Mummy,2002-11-20,Everyone,Unkown,Unkown,Action & Adventure,008888140306,2638,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-mummy
gameboy-advance,The Muppets On With the Show,2003-03-18,Everyone,TDK,Unkown,Action & Adventure,739069625120,2639,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-muppets-on-with-the-show
gameboy-advance,The Polar Express,2004-11-02,Everyone,THQ,Unkown,Action & Adventure,785138321592,2641,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-polar-express
gameboy-advance,The Proud Family,2005-11-13,Everyone,Disney,Unkown,Action & Adventure,712725002299,10974,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-proud-family
gameboy-advance,The Revenge of Shinobi,2002-11-19,Everyone,THQ,Unkown,Action & Adventure,785138321202,2487,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-revenge-of-shinobi
gameboy-advance,The Scorpion King Sword of Osiris,2002-03-31,Everyone,Vivendi Universal,Unkown,Action & Adventure,020626714396,2642,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-scorpion-king-sword-of-osiris
gameboy-advance,The Simpsons Road Rage,2003-06-30,Everyone,Electronic Arts,Unkown,Racing,785138321356,2539,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-simpsons-road-rage
gameboy-advance,The Sims 2,2005-10-24,Everyone 10+,Electronic Arts,Unkown,Simulation,014633151305,2643,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-sims-2
