Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
nintendo-3ds,Captain Toad: Treasure Tracker,2018-07-13,Everyone,Nintendo,Nintendo EAD Tokyo ; 1-UP Studio,Puzzle,045496745103,47060,Unkown,https://www.pricecharting.com/game/nintendo-3ds/captain-toad-treasure-tracker
nintendo-3ds,Carnival Games Wild West 3D,2011-11-21,Everyone 10+,2K Games,Unkown,Party,710425450990,32261,Unkown,https://www.pricecharting.com/game/nintendo-3ds/carnival-games-wild-west-3d
nintendo-3ds,Cars 2,2011-11-01,Everyone,Disney,Unkown,Action & Adventure,712725020422,32150,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cars-2
nintendo-3ds,Cartoon Network Battle Crashers,2016-11-08,Everyone 10+,Game Mill,Unkown,Action & Adventure,834656000387,37104,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cartoon-network-battle-crashers
nintendo-3ds,Cartoon Network: Punch Time Explosion,2011-06-02,Everyone 10+,SVG Distribution,Unkown,Action & Adventure,650008500936,31750,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cartoon-network-punch-time-explosion
nintendo-3ds,Castlevania: Lords of Shadow Mirror of Fate,2013-03-05,Mature,Konami,Unkown,Action & Adventure,083717242123,33890,Unkown,https://www.pricecharting.com/game/nintendo-3ds/castlevania-lords-of-shadow-mirror-of-fate
nintendo-3ds,Cave Story 3D,2011-11-08,Everyone 10+,NIS America,Nicalis,FPS,813633011059,32094,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cave-story-3d
nintendo-3ds,Centipede: Infestation,2011-11-01,Everyone 10+,Atari,Unkown,Arcade,742725281943,31887,Unkown,https://www.pricecharting.com/game/nintendo-3ds/centipede-infestation
nintendo-3ds,Chibi-Robo Zip Lash,2015-10-09,Everyone,Nintendo,Skip Ltd.,Action & Adventure,045496743253,36098,Unkown,https://www.pricecharting.com/game/nintendo-3ds/chibi-robo-zip-lash
nintendo-3ds,Classic Games Overload,2012-11-30,Everyone,Telegames,Unkown,Simulation,834815006014,33421,Unkown,https://www.pricecharting.com/game/nintendo-3ds/classic-games-overload
nintendo-3ds,Cloudy With a Chance of Meatballs 2,2013-09-24,Unkown,Unkown,Unkown,Action & Adventure,834656090104,35325,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cloudy-with-a-chance-of-meatballs-2
nintendo-3ds,Code Name: S.T.E.A.M.,2015-03-13,Teen,Nintendo,Intelligent Systems,Strategy,045496743024,35760,Unkown,https://www.pricecharting.com/game/nintendo-3ds/code-name-steam
nintendo-3ds,Code of Princess,2012-10-09,Teen,Atlus,Studio Saizensen,RPG,730865300112,33153,Unkown,https://www.pricecharting.com/game/nintendo-3ds/code-of-princess
nintendo-3ds,Combat of Giants: Dinosaurs 3D,2011-03-22,Everyone 10+,Ubisoft,Unkown,Action & Adventure,008888166702,31093,Unkown,https://www.pricecharting.com/game/nintendo-3ds/combat-of-giants-dinosaurs-3d
