Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
wii,Agatha Christie Evil Under the Sun,2008-11-19,Teen,Dreamcatcher,none,Action & Adventure,625904543943,16031,none,https://www.pricecharting.com/game/wii/agatha-christie-evil-under-the-sun
wii,AJ & Aly Guitar,,none,none,Pelican,Music,none,3872212,none,https://www.pricecharting.com/game/wii/aj-&-aly-guitar
wii,Aladdin Magic Racer,2011-08-01,Everyone,SVG Distribution,none,Racing,650008500981,31381,none,https://www.pricecharting.com/game/wii/aladdin-magic-racer
wii,Alice in Wonderland: The Movie,2010-03-02,Everyone,Disney,none,Action & Adventure,712725017187,21007,none,https://www.pricecharting.com/game/wii/alice-in-wonderland-the-movie
wii,Alice in Wonderland: The Movie,2010-03-02,Everyone,Disney,none,Action & Adventure,712725017194,21007,none,https://www.pricecharting.com/game/wii/alice-in-wonderland-the-movie
wii,Alien Monster Bowling League,2009-10-20,Everyone 10+,Destineer,none,Sports,828068212964,21658,none,https://www.pricecharting.com/game/wii/alien-monster-bowling-league
wii,Alien Syndrome,2007-07-24,Teen,Sega,none,Action & Adventure,010086650044,6783,none,https://www.pricecharting.com/game/wii/alien-syndrome
wii,Aliens in the Attic,2009-08-04,Everyone 10+,Playlogic International,none,Action & Adventure,813582010134,21649,none,https://www.pricecharting.com/game/wii/aliens-in-the-attic
wii,All-Star Cheer Squad,2008-10-27,Everyone,none,none,Sports,785138301556,15828,none,https://www.pricecharting.com/game/wii/all-star-cheer-squad
wii,All Star Cheer Squad 2,2009-10-27,Everyone,THQ,none,Sports,785138302522,19872,none,https://www.pricecharting.com/game/wii/all-star-cheer-squad-2
wii,All-Star Karate,2010-04-20,Everyone 10+,THQ,none,Fighting,785138303154,21194,none,https://www.pricecharting.com/game/wii/all-star-karate
wii,Alone in the Dark,2008-06-23,Mature,Atari,none,Horror,742725275980,13984,none,https://www.pricecharting.com/game/wii/alone-in-the-dark
wii,Alone in the Dark,2008-06-23,Mature,Atari,none,Horror,742725276420,13984,none,https://www.pricecharting.com/game/wii/alone-in-the-dark
wii,Alone in the Dark [Soundtrack Edition],2008-06-24,Mature,none,Infogrames,Horror,742725276604,4556185,none,https://www.pricecharting.com/game/wii/alone-in-the-dark-soundtrack-edition
wii,Alvin & Chipmunks: Chipwrecked,2011-11-15,Everyone 10+,Majesco,none,Action & Adventure,096427017516,32251,none,https://www.pricecharting.com/game/wii/alvin-&-chipmunks-chipwrecked
wii,Alvin And The Chipmunks The Game,2007-12-04,Everyone,Brash Entertainment,none,Action & Adventure,890181002029,10873,none,https://www.pricecharting.com/game/wii/alvin-and-the-chipmunks-the-game
wii,Alvin and The Chipmunks: The Squeakquel,2009-12-01,Everyone,Majesco,none,Action & Adventure,096427016366,20065,none,https://www.pricecharting.com/game/wii/alvin-and-the-chipmunks-the-squeakquel
wii,Amazing Spiderman,2012-06-26,Teen,Activision,none,Action & Adventure,047875843516,32876,none,https://www.pricecharting.com/game/wii/amazing-spiderman
wii,Amazing Spiderman,2012-06-26,Teen,Activision,none,Action & Adventure,047875844278,32876,none,https://www.pricecharting.com/game/wii/amazing-spiderman
wii,America's Next Top Model,2010-06-01,Everyone 10+,Crave,none,Action & Adventure,815315001976,21523,none,https://www.pricecharting.com/game/wii/america%27s-next-top-model
wii,American Mensa Academy,2012-11-16,Everyone,Maximum Games,none,Puzzle,814290012298,33394,none,https://www.pricecharting.com/game/wii/american-mensa-academy
wii,AMF Bowling Pinbusters,2007-11-20,Everyone,Bethesda Softworks,none,Sports,093155126503,10874,none,https://www.pricecharting.com/game/wii/amf-bowling-pinbusters
