Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PriceCharting_ID,Summary,URL
nintendo-ds,Alice in Wonderland: The Movie,2010-03-02,Everyone,Disney Interactive Studios,Étranges Libellules,Action & Adventure,712725017170,21006,none,https://www.pricecharting.com/game/nintendo-ds/alice-in-wonderland-the-movie
nintendo-ds,Aliens in the Attic,2009-08-04,Everyone 10+,Playlogic International,none,Action & Adventure,813582010141,21714,none,https://www.pricecharting.com/game/nintendo-ds/aliens-in-the-attic
nintendo-ds,Aliens: Infestation,2011-10-11,Teen,Sega Of America,WayForward,Action & Adventure,010086670219,31837,none,https://www.pricecharting.com/game/nintendo-ds/aliens-infestation
nintendo-ds,All-Star Cheer Squad,2008-11-24,Everyone,none,none,Sports,785138361673,15829,none,https://www.pricecharting.com/game/nintendo-ds/all-star-cheer-squad
nintendo-ds,Alpha and Omega,2010-09-14,Everyone,Storm City Entertainment,none,Action & Adventure,814157010269,22029,none,https://www.pricecharting.com/game/nintendo-ds/alpha-and-omega
nintendo-ds,Alvin & Chipmunks: Chipwrecked,2011-11-15,Everyone 10+,Majesco,none,Action & Adventure,096427017530,32252,none,https://www.pricecharting.com/game/nintendo-ds/alvin-&-chipmunks-chipwrecked
nintendo-ds,Alvin And The Chipmunks The Game,2007-12-04,Everyone,Brash Entertainment,none,Action & Adventure,890181002043,10842,none,https://www.pricecharting.com/game/nintendo-ds/alvin-and-the-chipmunks-the-game
nintendo-ds,Alvin and The Chipmunks: The Squeakquel,2009-12-01,Everyone,Majesco,none,Action & Adventure,096427016359,20064,none,https://www.pricecharting.com/game/nintendo-ds/alvin-and-the-chipmunks-the-squeakquel
nintendo-ds,Amazing Adventures The Forgotten Ruins,2008-11-11,Everyone,PopCap Games,none,Action & Adventure,899274001352,15972,none,https://www.pricecharting.com/game/nintendo-ds/amazing-adventures-the-forgotten-ruins
nintendo-ds,Amazing Spiderman,2012-06-26,Everyone 10+,Activision,none,Action & Adventure,047875843554,32878,none,https://www.pricecharting.com/game/nintendo-ds/amazing-spiderman
