,PC_ID,Title,loose_price,cib_price,new_price
111,12205,Bible Buffet,92.00,147.18,172.69
112,12106,Big Nose Freaks Out,133.82,203.12,343.68
113,39520,Big Nose Freaks Out [Aladdin],11.83,26.00,40.57
114,16129,Big Nose the Caveman,17.27,53.94,104.50
115,12206,Bigfoot,9.78,55.49,222.47
116,8606,Bill and Ted's Excellent Video Game,15.00,48.97,215.50
117,8607,Bill Elliott's NASCAR Challenge,7.22,23.95,96.00
118,12107,Bionic Commando,14.50,73.79,882.50
119,12108,Black Bass,7.71,21.99,76.00
120,836875,Black Box Challenge [Homebrew],35.69,,137.50
121,12109,Blackjack,57.95,98.45,214.20
122,3402831,Blade Buster [Homebrew],,,
123,8614,Blades of Steel,6.99,31.42,"1,475.00"
124,39515,Blades of Steel [Classic Series],19.00,112.85,385.00
125,12110,Blaster Master,9.99,52.00,725.00
126,4127082,Blazing Rangers,50.00,99.99,
127,8625,Blue Marlin,21.87,78.53,320.00
128,8627,Blues Brothers,63.54,162.44,650.00
129,8628,Bo Jackson Baseball,8.79,41.45,183.27
130,12111,Bomberman,20.10,96.62,730.70
131,8632,Bomberman II,149.99,432.98,750.00
132,8636,Bonk's Adventure,845.04,"1,787.50","7,150.00"
133,12112,Boulder Dash,15.11,53.49,206.11
134,8643,Bram Stoker's Dracula,77.50,166.25,665.00
135,8645,Break Time The National Pool Tour,20.11,49.50,198.00
136,12113,BreakThru,9.43,57.98,616.66
137,38039,Breakthru [5 Screw],14.99,135.10,540.00
138,14930,Bubble Bath Babes,"1,175.39","1,765.98","2,599.99"
139,11983,Bubble Bobble,19.99,94.38,378.00
140,8654,Bubble Bobble Part 2,382.49,966.67,"3,867.00"
141,8658,Bucky O'Hare,145.91,701.07,"1,287.44"
142,8661,Bugs Bunny Birthday Blowout,10.66,46.70,235.20
143,8662,Bugs Bunny Crazy Castle,11.97,40.00,160.00
144,12114,Bump 'n' Jump,10.00,59.00,402.50
145,12115,Burai Fighter,16.99,43.97,230.22
146,12116,Burgertime,10.51,50.00,200.00
147,38006,BurgerTime [5 Screw],16.00,56.00,224.00
148,5156739,Buzz & Waldog [Homebrew],,,
149,12117,Cabal,11.50,50.00,242.50
150,8683,Caesar's Palace,5.29,18.05,150.00
151,12118,California Games,9.99,44.00,"1,028.59"
152,8687,California Raisins The Great Escape [Reproduction],43.33,90.25,361.00
153,14928,Caltron 6-in-1,385.00,508.91,699.00
154,67470,Candelabra: Estoscerro [Homebrew],58.74,78.00,
155,8695,Captain America and the Avengers,35.11,163.75,655.00
156,12119,Captain Comic,13.20,53.50,82.00
157,8696,Captain Planet and the Planeteers,21.25,119.55,478.00
158,12120,Captain Skyhawk,2.99,20.25,76.96
159,3167488,Carpet Shark [Homebrew],,,
160,12121,Casino Kid,7.38,31.08,128.50
161,8701,Casino Kid II,128.79,270.00,"1,080.00"
162,8702,Castelian,24.24,60.80,137.50
163,12122,Castle of Deceit,165.00,222.25,310.18
164,71973,Castle of Deceit [Blue],111.13,250.86,"1,003.00"
165,12123,Castle of Dragon,17.83,71.61,286.00
166,12124,Castlequest,9.09,34.77,179.93
167,8704,Castlevania,28.48,209.36,"2,711.53"
168,38007,Castlevania [5 Screw],31.99,256.50,"1,026.00"
169,11984,Castlevania II Simon's Quest,13.55,84.00,891.39
170,8706,Castlevania III Dracula's Curse,37.14,132.41,"1,760.05"
171,12126,Caveman Games,10.08,50.19,201.00
172,16130,Challenge of the Dragon,160.75,264.32,"1,057.00"
173,8713,Championship Bowling,3.23,20.87,41.71
174,8714,Championship Pool,14.99,39.60,203.19
175,4954619,Chaos between Realms Mission to MGC [Homebrew],,,
176,14927,Cheetahmen II,"1,835.42","5,079.43","5,300.00"
177,70912,Cheetahmen II: The Lost Levels [Homebrew],66.73,131.22,172.50
178,8722,Chessmaster,6.04,21.25,78.38
179,8729,Chiller,99.00,339.21,368.15
180,12127,Chip and Dale Rescue Rangers,13.93,98.00,392.00
181,8730,Chip and Dale Rescue Rangers 2,300.09,784.75,"3,139.00"
182,12128,Chubby Cherub,112.50,607.88,"2,432.00"
183,3401574,Chunkout 2 [Homebrew],,,
