,PC_ID,Title,loose_price,cib_price,new_price
104,21516,Bass Pro Shops: The Hunt,5.43,5.48,17.91
105,63142,Bass Pro Shops The Hunt Trophy Showdown,7.17,10.44,32.76
106,63143,Bass Pro Shops The Hunt Trophy Showdown [Gun Bundle],17.95,25.00,50.00
107,19663,Bass Pro Shops: The Strike,7.48,7.89,19.99
108,5489934,Bass Pro Shops: The Strike [Tournament Edition],4.25,12.00,28.88
109,19665,Bass Pro Shops: The Strike with Fishing Rod,19.63,29.99,114.60
110,21993,Batman: The Brave and the Bold,9.22,11.48,19.58
111,10347,Battalion Wars 2,10.85,12.00,37.67
112,30657,Battle of Giants: Dinosaurs Strike,11.42,11.47,33.29
113,13223,Battle of the Bands,2.51,3.93,6.72
114,16310,Battle Rage,7.45,8.66,11.49
115,32738,Battleship,6.57,6.90,18.69
116,30895,Beach Fun: Summer Challenge,4.39,5.35,6.68
117,35225,Beastly,4.49,4.86,8.99
118,10367,Bee Movie Game,4.55,4.95,14.50
119,15037,Ben 10 Alien Force,4.73,5.89,11.80
120,19855,Ben 10: Alien Force: Vilgax Attacks,6.55,7.45,15.99
121,31841,Ben 10: Galactic Racing,6.71,7.32,8.98
122,33317,Ben 10: Omniverse,6.07,8.00,13.48
123,34502,Ben 10: Omniverse 2,5.79,7.53,11.05
124,10348,Ben 10 Protector of Earth,3.37,6.29,13.00
125,22107,Ben 10: Ultimate Alien Cosmic Destruction,7.44,7.74,15.00
126,20015,Bermuda Triangle: Saving the Coral,4.21,6.91,9.63
127,30691,Beyblade: Metal Fusion Battle Fortress,7.96,8.72,23.56
128,13988,Big Beach Sports,2.00,3.99,6.24
129,5298549,Big Beach Sports 1 and 2 [Double Pack],10.74,16.11,32.21
130,21611,Big Beach Sports 2,4.50,7.42,14.07
131,6785,Big Brain Academy Wii Degree,5.01,5.59,11.76
132,33879,Big Buck Hunter Pro,15.00,18.49,99.81
133,33880,Big Buck Hunter Pro Gun Bundle,30.20,41.97,154.98
134,15963,Big League Sports,6.74,7.97,12.45
135,19296,Big League Sports: Summer,5.95,7.31,14.52
136,34006,Big Time Rush Dance Party,8.00,9.20,16.91
137,16414,Bigfoot Collision Course,5.64,5.66,11.23
138,34853,Bigfoot: King of Crush,5.99,8.59,18.82
139,30658,Biggest Loser Challenge,3.76,3.99,7.87
140,8609,Billy The Wizard,4.31,5.31,8.99
141,7273,Bionicle Heroes,6.44,8.00,23.16
142,19382,Birthday Party Bash,4.73,6.12,7.47
143,31726,Bit.Trip Complete,44.90,57.21,61.29
144,32389,Black Eyed Peas Experience,3.26,5.79,7.99
145,11356,Blast Works Build Trade Destroy,5.75,5.94,10.97
146,7277,Blazing Angels Squadrons of WWII,3.99,4.72,10.13
147,8621,Bleach Shattered Blade,6.64,10.22,33.50
148,15957,Block Party,3.99,6.77,10.34
149,16003,Bolt,4.35,6.55,10.59
150,14120,Bomberman Land,15.88,21.91,53.44
151,6786,Boogie,4.94,5.39,9.00
152,15722,Boogie SuperStar,3.64,5.52,18.41
153,31369,Boogie Superstar (Game only),3.29,4.28,9.94
154,13966,Boom Blox,6.16,9.10,18.49
155,19211,Boom Blox Bash Party,6.27,8.00,24.99
156,31347,Boot Camp,6.22,6.38,13.00
157,16112,Bratz: Girlz Really Rock!,6.99,7.38,19.66
158,21641,Bratz Kidz,2.99,8.90,18.00
159,10349,Bratz: The Movie,8.49,8.99,16.99
160,19461,Brave: A Warrior's Tale,3.05,6.98,8.47
161,32850,Brave The Video Game,5.65,6.58,12.68
162,16478,Broken Sword The Shadow of the Templars,6.43,11.00,21.25
163,15067,Brothers in Arms Double Time,6.33,7.68,12.56
164,30896,Brunswick Cosmic Bowling,10.47,10.75,21.65
165,7281,Brunswick Pro Bowling,6.09,7.05,15.00
166,19747,Buck Fever,6.48,6.86,13.22
167,19466,Build 'N Race,4.26,4.99,12.94
168,15786,Build-A-Bear Workshop: A Friend Fur All Seasons,4.53,5.91,8.75
169,21067,Build-A-Bear Workshop: Friendship Valley,4.99,6.99,9.99
170,11880,Bully Scholarship Edition,11.36,12.00,34.99
171,31139,Burger Bot,7.36,10.00,21.08
172,21636,Burger Island,6.72,6.85,19.95
173,7285,Bust-A-Move Bash,3.98,4.96,12.95
174,30647,Busy Scissors,5.50,5.70,11.00
175,32142,Cabela's Adventure Camp,6.99,7.95,19.02
176,34416,Cabela's African Adventures,6.23,8.06,14.99
177,2252794,Cabela's African Adventures [Gun Bundle],19.39,40.20,25.00
178,10541,Cabela's Big Game Hunter 2008,5.50,5.60,11.00
179,20391,Cabela's Big Game Hunter 2010,6.71,6.90,41.14
180,20390,Cabela's Big Game Hunter 2010 Gun Bundle,19.98,20.00,40.00
181,31779,Cabela's Big Game Hunter 2012,7.99,8.15,41.38
182,31781,Cabela's Big Game Hunter 2012 [Gun Bundle],33.33,48.00,96.00
183,4206089,Cabela's Big Game Hunter 2012 [Limited Edition 2 Pack],48.85,83.71,99.99
184,15059,Cabela's Dangerous Hunts 2009,3.35,4.55,10.90
185,4768616,Cabela's Dangerous Hunts 2011,15.37,23.99,57.48
186,30284,Cabela's Dangerous Hunts 2011 [Gun Bundle],18.77,25.99,37.44
187,30283,Cabela's Dangerous Hunts 2011 [Special Edition],5.18,7.06,14.46
188,33204,Cabela's Dangerous Hunts 2013,5.85,6.61,56.48
189,33205,Cabela's Dangerous Hunts 2013 [Gun Bundle],21.54,28.00,56.00
190,33208,Cabela's Hunting Expedition,7.99,10.56,16.99
191,14921,Cabela's Legendary Adventures,4.44,6.02,14.16
192,21668,Cabela's Monster Buck Hunter,5.85,9.14,29.15
193,21669,Cabela's Monster Buck Hunter [Gun Bundle],18.81,27.47,49.48
194,22006,Cabela's North American Adventures,5.53,6.09,16.63
195,3305886,Cabela's North American Adventures [Gun Bundle],22.26,31.00,62.00
196,19541,Cabela's Outdoor Adventures 2010,5.45,5.65,15.99
197,32146,Cabela's Survival: Shadows Of Katmai,4.80,6.00,13.73
198,32149,Cabela's Survival: Shadows Of Katmai [Gun Bundle],8.00,31.35,36.72
199,13875,Cabela's Trophy Bucks,6.64,8.00,12.68
200,21565,Cages: Pro Style Batting Practice,10.13,12.95,24.99
201,16062,Cake Mania In The Mix,4.99,5.51,13.00
202,7287,Call of Duty 3,5.21,5.82,11.00
203,30675,Call of Duty Black Ops,7.20,7.89,15.70
204,32091,Call of Duty Modern Warfare 3,7.50,8.44,13.99
205,19964,Call of Duty Modern Warfare Reflex,6.51,6.60,15.95
206,15934,Call of Duty World at War,3.56,5.33,14.72
207,21051,Calling,47.58,50.00,72.91
208,31348,Calvin Tucker's Redneck Farm Animal Racing Tournament,5.85,8.00,16.00
209,16081,Calvin Tucker's Redneck Jamboree,4.59,5.82,12.16
210,31148,Canada Hunt,5.99,8.70,17.47
211,16165,Candace Kane's Candy Factory,3.11,4.31,9.58
212,31613,Captain America: Super Soldier,10.19,11.89,39.99
213,7289,Carnival Games,5.51,5.82,12.13
214,14653,Carnival Games Mini Golf,6.50,8.17,16.63
215,7290,Cars,9.16,9.47,23.40
216,31514,Cars 2,6.42,7.85,17.59
217,10350,Cars Mater-National Championship,6.61,7.08,12.00
218,19727,Cars Race-O-Rama,5.87,5.99,12.00
219,643934,Cars Race-o-Rama [Wheel Bundle],24.06,36.09,72.20
220,30337,Cars Toon: Mater's Tall Tales,3.70,6.39,19.45
221,32265,Cartoon Network: Punch Time Explosion,15.50,15.50,38.82
222,22188,Casper Scare School: Spooky Sports Day,5.01,7.20,13.00
223,13227,Castle of Shikigami III,38.00,44.05,74.63
224,16019,Castlevania Judgment,15.92,17.47,27.20
225,16479,Cate West: The Vanishing Files,7.40,8.36,16.80
226,16319,Celebrity Sports Showdown,4.13,5.16,9.49
227,31886,Centipede: Infestation,9.37,10.64,14.36
228,31880,Champion Jockey: G1 Jockey & Gallop Racer,16.99,22.09,44.00
229,16022,Championship Foosball,4.14,5.49,6.83
230,3104995,Chaotic: Shadow Warrior [Walmart],8.99,18.95,69.99
231,21620,Chaotic: Shadow Warriors,3.51,7.06,19.99
232,19793,Charm Girls Club: Pajama Party,4.29,5.54,6.71
233,30897,Chevrolet Camaro: Wild Ride,5.48,7.04,7.89
234,21652,Chicken Blaster,4.86,5.12,11.37
235,30898,Chicken Blaster Bundle,11.92,15.50,20.95
236,11497,Chicken Little Ace In Action,5.68,5.89,8.48
237,21666,Chicken Riot,14.99,16.49,20.24
238,6787,Chicken Shoot,5.02,6.49,14.55
239,30900,Chicken Shoot Bundle,7.18,10.00,20.00
240,13811,Chronicles of Narnia Prince Caspian,5.46,6.45,14.70
241,16387,Chrysler Classic Racing,2.97,5.82,13.79
242,21598,Chuck E Cheese's Party Games,8.11,12.64,28.49
243,31008,Chuck E. Cheese's Sports Games,33.01,48.97,98.00
244,37239,Chuck E Cheese's Super Collection,29.95,29.99,60.00
245,16192,Cid the Dummy,7.49,8.59,10.76
246,16124,Circus Games,3.92,4.21,8.99
247,21367,City Builder,5.49,7.79,13.69
248,11038,Classic British Motor Racing,5.97,7.23,9.99
249,19595,Cloudy with a Chance of Meatballs,6.89,8.84,20.85
250,22045,Club Penguin: Game Day,5.14,5.81,12.08
251,40261,Club Penguin: Game Day Limited Edition,304.43,492.50,688.62
252,13989,Cocoto Kart Racer,5.68,7.95,13.14
253,14487,Cocoto Magic Circus,5.22,6.46,6.95
254,8746,Code Lyoko Quest for Infinity,7.37,7.99,27.89
255,20051,Cold Stone Creamery: Scoop It Up,5.52,6.60,10.46
256,26517,Colt's Wild West Shootout,9.21,12.49,16.00
257,31343,Conduit 2,33.24,35.25,55.50
258,31344,Conduit 2 [Limited Edition],20.80,40.00,57.71
259,19794,Cook Wars,6.97,7.25,15.00
260,32980,Cooking Mama 2 Pack,9.95,15.91,25.22
261,7299,Cooking Mama Cook Off,6.33,6.82,14.98
262,16025,Cooking Mama World Kitchen,5.94,6.41,12.39
263,16244,Coraline,61.15,65.39,86.26
264,7300,Cosmic Family,3.99,6.30,12.63
265,8766,Counter Force,4.50,6.45,6.93
266,31354,Country Dance,6.32,8.20,15.00
267,33878,Country Dance 2,5.99,7.68,13.28
268,4758849,Country Dance [Demo],,,
269,21643,Cradle of Rome,6.23,10.58,11.60
270,10875,Cranium Kabookii,5.07,5.14,8.95
271,15674,Crash Mind Over Mutant,10.61,15.24,30.00
272,8773,Crash of the Titans,8.66,11.95,33.47
273,22155,Crayola Colorful Journey,4.54,4.90,9.84
274,22156,Crazy Chicken Tales,11.43,14.85,17.66
275,32835,Crazy Machines,12.32,19.95,39.49
276,30740,Create,5.75,6.23,12.95
277,10542,Cruis'n,9.29,11.99,24.97
278,19559,Cruise Ship Vacation Games,4.72,6.33,9.39
279,19860,CSI: Crime Scene Investigation: Deadly Intent,6.86,8.14,15.88
280,30361,CSI: Fatal Conspiracy,5.99,7.68,14.50
281,14252,CSI Hard Evidence,5.20,6.13,15.55
282,19511,Cursed Mountain,16.94,16.99,31.03
283,40362,Cursed Mountain [Limited Edition],19.99,45.00,110.05
284,36666,Cyberbike Cycling Sports,99.99,217.95,436.00
285,19467,Daisy Fuentes Pilates,2.96,4.72,7.95
286,32953,Dance Dance Revolution,8.04,11.16,30.98
287,17475,Dance Dance Revolution: Disney Grooves,8.94,9.99,57.50
288,14260,Dance Dance Revolution Hottest Party,6.31,8.43,34.85
289,15617,Dance Dance Revolution Hottest Party 2,9.67,13.04,31.00
290,35226,Dance Dance Revolution: Hottest Party 2 (Game only),6.96,8.38,13.96
291,19873,Dance Dance Revolution: Hottest Party 3 Bundle,17.31,17.50,56.96
292,31454,Dance Dance Revolution: Hottest Party 3 (Game only),9.87,11.84,18.47
293,8802,Dance Dance Revolution Hottest Party Bundle,21.40,23.00,39.74
