PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
1972,4.34,7.15,9.50,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96Mwi-YOcMt6F_sox1K7cWg0slJt4rmgRfwLGeX89E7Yp5nuzjvZ0Ik4ySlrJxP38Vtht8wvNo2pu6njlQoYRwhDl0w8DPsLxVQdWkVBQfasJPd_d-eC1xTVjYzCWK9MHNfQrYOMJWa1GvwhvbsurcFkn6vvw/60.jpg
1973,4.24,13.31,25.95,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94d2o7xJNTP_374Dj5z0QyLQCB9gaZ2UD-yz6_nmyBX63nENAVFhpnyU5Pb5ob4XgvW-16Szw0W7bVSAhhaCEi05rmwk5PFyfMXqFG1kkPFT3jmLyBTPiOhPcDRvpE1RMh1dmcr9wGez43EcsYHCBQ-xb4TbA/60.jpg
42392,0.99,2.18,3.17,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv971zCNRwzyDcvfZiCwF7Ei_grL1K7Nvhme67garD9C3fAJ7T2WTvQGF2nlsCHaU791D6nW9U8--TB09fYImK_fKeTU1CZtK8PDY96aQIPTbJjiFR-BNQ7EQ2lQWW0olU9r1vR1LAsAPW3oODFBkBhf50BEQZA/60.jpg
11289,13.29,32.49,66.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv940R8niGGpKbtbea-5KgdysX2PnUCNFBiUnpxxWBzB53xMeTB2Etnckx0ltJnIwo7mVm3UXRtwVgwqnDhvUCbTRZIlDG09cBikx0LnDWqHc9zZPxE--Z9itT8-F9ou5LIjOECq3CYuKneTYMK0xoofctOFhZg/60.jpg
1974,49.50,89.00,150.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94lTZcGKQHPrU-cmlNNwRubL0yEhz1Kw0aCl_R9Dla55aWRkZbV9s4pWFWChEIPS_AB0yW_lamw2Bi-wK3oFgHg9cfTI9fik1Fua95iLwQJSZYwZXyRMLb5dAdevW9yxAP9OuBiUxJ1VL8KmsesqA5AVxqcuw/60.jpg
11651,3.12,13.98,10.84,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95VtvyFIHf_sr-OcFGfPeA-iZL6Gjd_UL5aWVeYZzwahRVpQqbyEC_IP767vOJGeq4wRYtHjwCrDmMQmQKCWYbSjwBoSHRB8790N3fCdHNj51oHTDb4SGBucx2ZT7ueDfyVddKy4k7M07Vdi0jvu4PXJXWtfg/60.jpg
1975,6.99,19.00,34.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97s-JDI2VbQfJlNE1oDgWnQlrwEazY4WsW3_cSp1gYKxpGh83nT8DB3wU_gBZ2WoKBUcBug82A1fh41gSd9vNQiIoTMqrhlulFyNuesO0V9p2ix2rnhFJ2_t7cOQdbVH7hpjz4MJwpV0Tm5qZky06pSPtsFuw/60.jpg
1977,5.06,14.97,22.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94jN3bS-1oRKa3q0bTjDbEkulEoAKBA73N3tFvVatVPLeWZPQ1Bj5yyra_BuZHe1fyQ_VVNbG51nNQHniB1a65JyKqFAEhQld2DeVg40-5Y2PuQKu0_orB9N6ne62ufjfm3Ug_2dubf_5_Hfw9qh4zJPLeN-A/60.jpg
1978,8.49,28.00,42.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96oRlO3NZ4rG7CaxEr85D__uQIAO8I_eCx8kdDsCyUNIZxOkwsfJosGuBqvG9UY3w5x_iIplcPDIug4VAHvYPUp2AvTwth_8_mQC6b0CWi-LASykd7zl_brH7s1Z2BrFhWJQXcfT4awFSK8tlw_XnRSjwrfKQ/60.jpg
1979,22.24,67.73,96.08,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97fXjtQRyzoMcjjvsJ_h_veuBBDsBCG8cV8UyLV5pBLBnUYdvR5yY3NR57h45RoAS_tcWfJSkFJQfdJa-WdURxYsF4iSLOuOg1wy_k3qYP1teKPNuMyLIknXZ1fKBpoh8FSW9bpheN7cy6qSEtSwdejbTk8Yg/60.jpg
18709,16.23,59.99,90.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv977Ucg1uM58yud28LK_DXfqzdxC88qEcvcl_UGR9wNPJC0LRhvV9scjDNaAHj-J9tjMh-HaGcbaX8TfJ0qg6x_yrr4MlW10xK1ferVfiPYlda9cCceLx0-P8ESDiM3mUlTBVMVnQrS7lZLM_T2fhyZ5lNNqGA/60.jpg
1980,9.00,23.43,29.91,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94tbnTbafxg-NGuER-qhKUCXTx97-0I4_-Ii1uAxE2MV3qgaZVzDwevh-V1uDI_A3tFqrnMnMZVMZ1P1ueSSMt2XlHD_p8kTRmc4joJVM2tvhYffyhusYtI-cSRmJXVJW_O7kcD6yVaIPwPD5fIXo4SZ08Ahg/60.jpg
