Price_Date,PC_ID,Title,Loose_Price,CIB_Price,New_Price,Image_URL
2024-05-24,12168,10-Yard Fight,6.95,53.29,213.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97C9GVdN6Blh6elpAYJl_EO7TRIMTGPdzuTi5eYMq70c5KrnWgkue4eYm6CwX2gKDBbvVr6_3tBcFUEnDpXuJByLy7akLGG5Gd0mYKWu7pV48ux5ZedHDUirWAp2gPK5dWRfuDQsf7iVRSXQ8zXuhCCeRTJLA/60.jpg
2024-05-24,12169,1942,14.48,52.15,209.00,https://commondatastorage.googleapis.com/images.pricecharting.com/b9943cafc8f77d7fd20f06dca75a9f17287c5460e4ef3cf76eed896ed550e215/60.jpg
2024-05-24,12170,1943: The Battle of Midway,17.45,67.49,270.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96aMPGj8jytajJzmFZl4yOzb-XsW4i7-FKl8-OQLZrkLJZCuxaZ468N--yNYLT4Pw-Za7q1Ms-UXSa8s5lwpRJtlsjAASfIuAMKD36sYA96hbPkstyYG1izteYZ_6PMkQeDpo_rXOxhEquLq4x2WUu4B17RUQ/60.jpg
2024-05-24,8445,3D WorldRunner,8.93,40.00,109.72,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94p7JcqQ54OBYnMy4E89j4Ww-9fAvsbVWjJNOof6EAUAj-TiSIvk2QCIXOmBAP1hmV5Pu4e9Hs6DexZznO2GyIiNZKI8blWj0_455mzE4eYsBfVG600BTt0re0_Iqr0Jd23UHCfRKw6lSK4qkjvhIBd0LOONg/60.jpg
2024-05-24,12171,720,5.86,33.30,290.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96m1Vn25PFq6HE8VASIJ-0F_61MAnDrJvwbqGHsHlVmOaAnAK8XsUXdcs0-Z0xXNvkGixaYoj2bFo6WypUM17EgkOnOR_Da6AN925UuRUDoc4Wm1kQ4A4_jP5xM1t5dIlZqtwTI4ASC0tqTFfq9Bjaok5teLw/60.jpg
2024-05-24,6403739,8-Bit Xmas 2020,,,,https://commondatastorage.googleapis.com/images.pricecharting.com/57b3cf9d16a4ed75b8c8a390e5b71a9a5033e9e4a87dac294086fc669814f88c/60.jpg
2024-05-24,12172,8 Eyes,12.99,52.46,280.86,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94DvOvGS_P1gx3-QvekmmYPplXu4MFaPwZ5sFp-D_D-vzqZIsUraCI6wWuv3ELKHEKzsMWtvc-KUygRXTdYl6Vc57yrLAqzUMeQPWhEQmvCJBaFvLOd-Gj9P_gqLx8aBDYyXlbfwVHhs196zo6qPuyuZUOXLw/60.jpg
2024-05-24,12173,A Boy and His Blob Trouble on Blobolonia,9.71,54.44,393.75,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95EJ_7f7bb5LjtCRFnwAjF38TyxaZ_AiFdf9cfqH5WYZQNrlnvIhbfP-mojsnbC6AzV3qbkHuj6fxpdLTaHxUEVtEBla4dr-FmZUxNP3h4dseHixK87hEZUmbI7kAjirxOZdPGpDKyrcV6G4FDhjEbvAoVKGw/60.jpg
2024-05-24,12174,A Nightmare on Elm Street,56.34,294.61,800.00,https://commondatastorage.googleapis.com/images.pricecharting.com/cdf0cd35ee4ea4a0d6c05efc6b4427c1c77b8c04180131802a9c753de4ae16e2/60.jpg
2024-05-24,8451,Abadox,13.40,47.55,142.74,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv956ChNmhDYx-aavvJNfjxZ_iGUYbYtf3BzIKuCkM4LlAlSyXs5npYWoeBtPDuRor3p_j2ui3Bk9Dd4rlYsZqM5ErtHGiEkOOrSaewBvsyBlKsLyT5CwdCyA_zp-umKCoM-HanME92aOlEBF0wDqMwa6SDFDbA/60.jpg
