Price_Date,PC_ID,Title,Loose_Price,CIB_Price,New_Price,Image_URL
2024-05-19,30775,Donkey Kong Country Returns,12.99,15.71,34.95,https://commondatastorage.googleapis.com/images.pricecharting.com/0339a51b2bbbade3e83b49d54b5b66c74482535dc8d67526f1cb0624e1a4baa6/60.jpg
2024-05-19,10876,Dragon Ball Z Budokai Tenkaichi 3,52.25,64.98,152.32,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv945Fk8ia-YY2EIljPSpE7LroIV6pHoDDJO4ZySHoSaXyzqUOgQ8YK9_JdktpnJEZ-84UZN0UUaEZznxSkHRBiCq3U85WyySAYYbFABxS73e6YYWz_IC6hK4HGQpKc1qNyJZisvAFMAj2ePXXX6LzzHrvcYgxA/60.jpg
2024-05-19,12099,Dragon Quest Swords The Masked Queen and the Tower of Mirrors,9.47,18.73,48.49,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94R3n920VjrH1IbC-EkzIMRrf-22mz4Bwsd_7pebZ6rY6jt9sKfdQcf6QMl8QUSOYt7oOtv7Sgpfh4jxuX1RWmNm8mhn-ATOVsYKFNp0rZ_v2_IQt3ZQJN0PSHBLpj5GB6ze4o4JESfOtOh5mNBvLo_d1Gk8Q/60.jpg
2024-05-19,20777,Endless Ocean: Blue World,14.81,22.26,29.62,https://commondatastorage.googleapis.com/images.pricecharting.com/77bf138fb9cf7da1e693f0a9cffd8742055050296c9bb5b3e64d1266b74239f6/60.jpg
2024-05-19,32354,F1 2009,32.70,36.35,84.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94_8NxHWTXGr81bgIPUPInAx3ShwNdGCU9HWR54wxdads7H20jwxNn8Ac63epymqKtySvXZZbiN7t80yHQTqxcqdO8RlNi5d3bOFYJjuoUeLnAy5GGAwuzlMVT9t4QlPpSSWKCOnuLjDna8Nq_cn8r1ikYRWw/60.jpg
2024-05-19,20120,Final Fantasy Crystal Chronicles: Crystal Bearers,11.99,13.68,33.51,https://commondatastorage.googleapis.com/images.pricecharting.com/786458bbc3c43865ec70723471b01c576e2e2d2a74a09ad9ec435948855c65d4/60.jpg
2024-05-19,14065,Final Fantasy Fables Chocobo's Dungeon,16.46,19.78,46.26,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96BcHPVM7yV_KpmH99Zd6WLY45EDxlr8qzSZVtro_3t9oX58b2_h3cy7p5NnKUK5k8e3AhYkaLoSTL2h1oiUR6zpMlOlvOyie38uAM6cfkcecwlKRMphME-H_IDyh_FEYKoGDvGUjX1nilsPOUHByJkZrO9NA/60.jpg
2024-05-19,10353,Fire Emblem Radiant Dawn,93.47,104.49,168.68,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97SDGQMZSaB710m4A_3oD_LN-a3YxZWWFMqBZke19K_NZgqQS42kDZp_wZ4dNOA3dm_FDR2z7yfCk11oV1YWPIeghgqPRZuN7tKN8ySEc6_t9ZZHwk_jnbSicCkiiGOtgFHSvUbao57hnt5nsOYcI6WpNSaSg/60.jpg
2024-05-19,18540,Fishing Master World Tour,6.49,9.01,18.28,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96cF6BUJJ9jgI2Rb-FVsdEb-2jga0-fOe1sNaA-0PitRzsvZ5PHZKZ28Lm0uOhdaSAzQ7kpwkTvopsfiSEZJGtUhrvZFDux6w1uNN7aNyVduBFFbrPgi2rYDEbKFL6gD45l_QydThAA16UrWjKzS6qLCN5Zvw/60.jpg
2024-05-19,91077,Fishing Resort [Rod Bundle],78.44,134.80,159.99,https://commondatastorage.googleapis.com/images.pricecharting.com/5a592e4f34c86eb00c04951bb4bf48772fed817602d07331b6b1d0ff67edcd05/60.jpg
2024-05-19,32379,Fortune Street,26.01,30.00,55.22,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94esqRsQg_wIudSVPbwLUr-EtreY8yRgYS0LCCIy0gwIPlUg7OZWg-_01zp48zyriC2As85oVEuYypphHXJtI1LXi65JycbzeomyxqkemNhon4nF6HX3H5VoZGHkbycEKCjFYM3D3ONy5tm8GKimIktwlw5dg/60.jpg
2024-05-19,21068,Fragile Dreams: Farewell Ruins of The Moon,84.99,85.12,120.00,https://commondatastorage.googleapis.com/images.pricecharting.com/78328bae213348edee1ee834c81d4c9dd27b5bdfa2269d6dc7654a7907bd748c/60.jpg
2024-05-19,20432,Free Running,12.34,19.90,30.60,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv942FnJi85LBW_IVvFJEkcwNMuzWDpWU4Gy1KyxJigelIRqbT2OiMk8jzpzxaG-a4bvQpsnEBpNLz4AadoR9lOl8cx-0VFOBEzGv_wBIvqQ2Th0TKfsLpwoJXqevPgA0kVJNsoqFHm8GHjr4Vi7kCvfSMkzw8w/60.jpg
2024-05-19,10879,Ghost Squad,8.23,8.29,19.95,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv949ThAqk-_v4NPHe-XVAdMk5_vlwacoiEAxMEoXcwLC9fbrirMImyoyNZPkA3c0mgAG0BO7wxd3-d0Itu-c2KwiQyiklvZRWPLFPueN0jWsUlpWlFq-ibjzU1PrwgBXOq1xa9X7Qpf47SnKc7L2BrfXd_gz5g/60.jpg
2024-05-19,10544,Godzilla Unleashed,40.50,46.95,105.54,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96m3xDb7sMFGdkYEsy6Ltwe2zD6iYqttytHHmhWbingwQ7AFIdXxMDcYZ7eU_4gdoPqahA-6ejSVNfJBGFZHrtBIG5lgFOtc3WWVqvwoo_ACTumX-YpnEk9roQ0bg50KKn7uz_PBFk9rnRC6mJART9dgy_REQ/60.jpg
2024-05-19,22026,Gormiti: The Lords of Nature!,6.64,9.70,15.70,https://commondatastorage.googleapis.com/images.pricecharting.com/03dd5f3c44d2e09c9c67e593d04d773caa75251fbd4bdb2555531a8ed540e9e5/60.jpg
